time_ms, raw_ax, raw_ay, raw_az, filt_ax, filt_ay, filt_az
1154, 0.02, -0.01, -1.06, 0.00, -0.00, -0.21
1207, 0.02, -0.01, -1.06, 0.01, -0.00, -0.38
1253, 0.02, -0.00, -1.06, 0.01, -0.00, -0.52
1299, 0.02, -0.01, -1.06, 0.01, -0.00, -0.63
1345, 0.02, -0.01, -1.06, 0.02, -0.00, -0.71
1391, 0.02, -0.00, -1.07, 0.02, -0.00, -0.78
1437, 0.02, -0.01, -1.07, 0.02, -0.01, -0.84
1483, 0.02, -0.01, -1.06, 0.02, -0.01, -0.89
1529, 0.02, -0.00, -1.06, 0.02, -0.01, -0.92
1575, 0.02, -0.01, -1.06, 0.02, -0.01, -0.95
1626, 0.03, -0.01, -1.06, 0.02, -0.01, -0.97
1672, 0.02, -0.01, -1.06, 0.02, -0.01, -0.99
1718, 0.02, -0.00, -1.06, 0.02, -0.01, -1.00
1764, 0.02, -0.01, -1.06, 0.02, -0.01, -1.01
1810, 0.02, -0.01, -1.05, 0.02, -0.01, -1.02
1860, 0.02, -0.01, -1.06, 0.02, -0.01, -1.03
1906, 0.02, -0.01, -1.06, 0.02, -0.01, -1.04
1952, 0.02, -0.01, -1.05, 0.02, -0.01, -1.04
1998, 0.02, -0.01, -1.06, 0.02, -0.01, -1.04
2044, 0.02, -0.01, -1.06, 0.02, -0.01, -1.05
2090, 0.02, -0.01, -1.06, 0.02, -0.01, -1.05
2141, 0.02, -0.01, -1.07, 0.02, -0.01, -1.05
2187, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
2233, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
2279, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
2325, 0.03, -0.01, -1.05, 0.02, -0.01, -1.06
2371, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
2417, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
2463, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
2509, 0.03, -0.01, -1.06, 0.02, -0.01, -1.06
2555, 0.03, -0.01, -1.06, 0.02, -0.01, -1.06
2601, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
2647, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
2698, 0.02, -0.00, -1.07, 0.02, -0.01, -1.06
2744, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
2790, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
2836, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
2882, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
2928, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
2974, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
3020, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
3066, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
3112, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3160, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3211, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3257, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3303, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3349, 0.02, -0.00, -1.05, 0.02, -0.01, -1.06
3395, 0.03, -0.01, -1.06, 0.02, -0.01, -1.06
3441, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3487, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3533, 0.03, -0.01, -1.06, 0.02, -0.01, -1.06
3579, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3625, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3671, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3722, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
3768, 0.03, -0.01, -1.07, 0.02, -0.01, -1.06
3814, 0.03, -0.01, -1.07, 0.02, -0.01, -1.06
3860, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3906, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3952, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
3998, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4044, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4090, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4136, 0.02, -0.00, -1.07, 0.02, -0.01, -1.06
4182, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4233, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4279, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4325, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
4371, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4419, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4465, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4511, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4557, 0.03, -0.01, -1.06, 0.02, -0.01, -1.06
4603, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4649, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
4695, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4746, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
4792, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
4838, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
4884, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4930, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
4976, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
5022, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
5068, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
5114, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
5160, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
5206, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
5257, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
5303, 0.02, 0.00, -1.06, 0.02, -0.01, -1.06
5349, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
